,y,x
149511310,29.3542012,-98.5282031
149511314,29.2756807,-98.5928379
149511321,29.319335,-98.6136153
149511326,29.317715,-98.611277
149511338,29.316417,-98.608072
149511371,29.3172889,-98.6074678
149511436,29.258967,-98.622701
149511451,29.261851,-98.623387
149511523,29.3995237,-98.6409645
149511529,29.3989984,-98.6440498
149511899,29.377239,-98.563109
149512181,29.399816,-98.480088
149512281,29.399507,-98.480287
149512422,29.398572,-98.530842
149512441,29.401121,-98.536707
149513078,29.406562,-98.579577
149513084,29.407087,-98.582979
149513093,29.3259203,-98.6859086
149513138,29.2811433,-98.5670843
149513140,29.2810076,-98.5669403
149513146,29.2780676,-98.5698416
149513147,29.2779074,-98.5695874
149513567,29.281172,-98.715849
149513628,29.400824,-98.495355
149513630,29.401744,-98.495276
149513695,29.255697,-98.714011
149513701,29.257348,-98.713051
149513719,29.256646,-98.716989
149513723,29.256654,-98.717649
149513743,29.256779,-98.717089
149513923,29.3315929,-98.6210296
149513924,29.330065,-98.620173
149514110,29.3198452,-98.5002176
149514118,29.3209461,-98.4966162
149514123,29.3220151,-98.4720254
149514127,29.322204,-98.468214
149514218,29.3384469,-98.5514146
149514519,29.3959891,-98.4936118
149514533,29.396572,-98.495882
149514535,29.3965928,-98.4967927
149514719,29.225046,-98.698645
149514727,29.229901,-98.697864
149514792,29.4112993,-98.508397
149515132,29.3908308,-98.5116899
149515325,29.3264953,-98.5930084
149515327,29.3275858,-98.5909135
149515384,29.290602,-98.736029
149515386,29.289338,-98.735356
149515608,29.2208098,-98.4774989
149515882,29.365362,-98.61137
149516173,29.3697695,-98.5253546
149516175,29.368942,-98.5253332
149516346,29.407234,-98.578278
149516348,29.406727,-98.575945
149516737,29.2760132,-98.5714497
149516739,29.2758675,-98.5711815
149516742,29.2694405,-98.5766101
149516744,29.2692962,-98.5763508
149516747,29.2644607,-98.5803616
149516749,29.2643148,-98.5800976
149516753,29.254664,-98.584018
149516755,29.254662,-98.583689
149516759,29.25246,-98.584027
149516761,29.252459,-98.583705
149516765,29.246699,-98.584076
149516767,29.246686,-98.583746
149516768,29.2415343,-98.5840807
149516769,29.2415365,-98.5837809
149516770,29.240236,-98.584086
149516771,29.240235,-98.583767
149516773,29.237042,-98.584077
149516775,29.237041,-98.583775
149516813,29.2207982,-98.477248
149516967,29.2683364,-98.7064342
149517114,29.332912,-98.4765144
149517116,29.334061,-98.476324
149517298,29.237401,-98.619325
149517408,29.405738,-98.509438
